user_id,evidence_category,primary_failure_type,why_repair_was_required,semantic_repair,formatting_only,raw_word_count,final_word_count,absolute_word_reduction,materially_compressed,operation_types
9,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,85,61,24,True,remove_additional_negative_or_abstention_span
323,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,130,92,38,True,remove_additional_negative_or_abstention_span
381,no_negative_evidence,formatting_only,Only deterministic prefix/placeholder/grammar normalization was needed.,False,True,79,80,-1,False,format_add_summary_prefix
868,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,101,77,24,True,remove_additional_negative_or_abstention_span
987,weak_or_ambiguous,formatting_only,Only deterministic prefix/placeholder/grammar normalization was needed.,False,True,78,79,-1,False,format_add_summary_prefix
1412,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,119,75,44,True,remove_additional_negative_or_abstention_span
1432,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,149,117,32,True,format_add_summary_prefix;remove_additional_negative_or_abstention_span
1566,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,141,102,39,True,format_add_summary_prefix;remove_additional_negative_or_abstention_span
1966,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,123,83,40,True,remove_additional_negative_or_abstention_span
2017,no_negative_evidence,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,107,71,36,True,format_add_summary_prefix;remove_additional_negative_or_abstention_span
2184,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,102,73,29,True,remove_additional_negative_or_abstention_span
3086,weak_or_ambiguous,unsupported_negative_claim_neutralized_no_supported_genre,Raw V2 asserted a negative preference although deterministic evidence was weak_or_ambiguous and supported no negative genre.,True,False,114,88,26,True,grounding_narrow_or_neutralize;remove_additional_negative_or_abstention_span
3091,weak_or_ambiguous,unsupported_negative_claim_neutralized_no_supported_genre,Raw V2 asserted a negative preference although deterministic evidence was weak_or_ambiguous and supported no negative genre.,True,False,128,70,58,True,grounding_narrow_or_neutralize;remove_additional_negative_or_abstention_span
3285,supported_negative,overbroad_negative_claim_narrowed_to_supported_genres,"Raw V2 made a negative claim broader than the licensed genre evidence; the repair retained only ['Comedy', 'Romance', 'Sci-Fi'].",True,False,122,70,52,True,grounding_narrow_or_neutralize;remove_additional_negative_or_abstention_span
3400,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,152,125,27,False,remove_additional_negative_or_abstention_span
3795,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,111,74,37,True,format_malformed_abstention_leadin;remove_additional_negative_or_abstention_span
3842,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,87,77,10,False,remove_additional_negative_or_abstention_span
4235,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,113,69,44,True,remove_additional_negative_or_abstention_span
5112,supported_negative,overbroad_negative_claim_narrowed_to_supported_genres,"Raw V2 made a negative claim broader than the licensed genre evidence; the repair retained only ['Action', 'Adventure', 'Children', 'Romance'].",True,False,89,61,28,True,format_add_summary_prefix;grounding_narrow_or_neutralize;remove_additional_negative_or_abstention_span
5151,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,127,80,47,True,remove_additional_negative_or_abstention_span
5282,supported_negative,inappropriate_abstention_despite_supported_negative_genre,Raw V2 abstained even though deterministic repeated rating evidence supported the narrow negative genre set ['Sci-Fi'].,True,False,105,105,0,False,abstention_to_supported_negative
5356,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,118,99,19,False,remove_additional_negative_or_abstention_span
5368,supported_negative,inappropriate_abstention_despite_supported_negative_genre,"Raw V2 abstained even though deterministic repeated rating evidence supported the narrow negative genre set ['Action', 'Adventure', 'Children', 'Fantasy', 'Sci-Fi'].",True,False,118,85,33,True,abstention_to_supported_negative;remove_additional_negative_or_abstention_span
5541,no_negative_evidence,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,178,147,31,False,format_malformed_abstention_leadin;remove_additional_negative_or_abstention_span
5619,supported_negative,overbroad_negative_claim_narrowed_to_supported_genres,"Raw V2 made a negative claim broader than the licensed genre evidence; the repair retained only ['Action', 'War'].",True,False,136,97,39,True,grounding_narrow_or_neutralize;remove_additional_negative_or_abstention_span
6045,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,90,58,32,True,format_add_summary_prefix;remove_additional_negative_or_abstention_span
6547,weak_or_ambiguous,unsupported_negative_claim_neutralized_no_supported_genre,Raw V2 asserted a negative preference although deterministic evidence was weak_or_ambiguous and supported no negative genre.,True,False,112,77,35,True,grounding_narrow_or_neutralize;remove_additional_negative_or_abstention_span
6769,supported_negative,inappropriate_abstention_despite_supported_negative_genre,"Raw V2 abstained even though deterministic repeated rating evidence supported the narrow negative genre set ['Romance', 'Sci-Fi'].",True,False,132,94,38,True,abstention_to_supported_negative;remove_additional_negative_or_abstention_span
6941,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,95,69,26,True,format_add_summary_prefix;remove_additional_negative_or_abstention_span
6945,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,92,78,14,False,remove_additional_negative_or_abstention_span
7752,weak_or_ambiguous,unsupported_negative_claim_neutralized_no_supported_genre,Raw V2 asserted a negative preference although deterministic evidence was weak_or_ambiguous and supported no negative genre.,True,False,115,78,37,True,grounding_narrow_or_neutralize;remove_additional_negative_or_abstention_span
7830,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,148,102,46,True,remove_additional_negative_or_abstention_span
7998,no_negative_evidence,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,125,83,42,True,format_malformed_abstention_leadin;remove_additional_negative_or_abstention_span
8167,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,67,56,11,False,remove_additional_negative_or_abstention_span
8252,supported_negative,inappropriate_abstention_despite_supported_negative_genre,Raw V2 abstained even though deterministic repeated rating evidence supported the narrow negative genre set ['Comedy'].,True,False,120,83,37,True,abstention_to_supported_negative;remove_additional_negative_or_abstention_span
8475,no_negative_evidence,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,95,72,23,True,format_malformed_abstention_leadin;remove_additional_negative_or_abstention_span
8742,supported_negative,inappropriate_abstention_despite_supported_negative_genre,"Raw V2 abstained even though deterministic repeated rating evidence supported the narrow negative genre set ['Action', 'Comedy', 'Crime', 'Drama', 'Thriller'].",True,False,112,78,34,True,format_add_summary_prefix;abstention_to_supported_negative;remove_additional_negative_or_abstention_span
8983,no_negative_evidence,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,125,87,38,True,format_add_summary_prefix;remove_additional_negative_or_abstention_span
9099,supported_negative,inappropriate_abstention_despite_supported_negative_genre,"Raw V2 abstained even though deterministic repeated rating evidence supported the narrow negative genre set ['Comedy', 'Fantasy'].",True,False,89,79,10,False,abstention_to_supported_negative;remove_additional_negative_or_abstention_span
9450,supported_negative,overbroad_negative_claim_narrowed_to_supported_genres,"Raw V2 made a negative claim broader than the licensed genre evidence; the repair retained only ['Horror', 'Thriller'].",True,False,111,76,35,True,grounding_narrow_or_neutralize;remove_additional_negative_or_abstention_span
9865,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,127,99,28,True,remove_additional_negative_or_abstention_span
10033,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,83,73,10,False,remove_additional_negative_or_abstention_span
10262,weak_or_ambiguous,unsupported_negative_claim_neutralized_no_supported_genre,Raw V2 asserted a negative preference although deterministic evidence was weak_or_ambiguous and supported no negative genre.,True,False,142,91,51,True,grounding_narrow_or_neutralize;remove_additional_negative_or_abstention_span
10376,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,106,93,13,False,remove_additional_negative_or_abstention_span
10450,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,92,69,23,True,remove_additional_negative_or_abstention_span
10733,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,124,81,43,True,remove_additional_negative_or_abstention_span
11270,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,130,75,55,True,remove_additional_negative_or_abstention_span
11574,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,111,80,31,True,format_add_summary_prefix;remove_additional_negative_or_abstention_span
11707,weak_or_ambiguous,unsupported_negative_claim_neutralized_no_supported_genre,Raw V2 asserted a negative preference although deterministic evidence was weak_or_ambiguous and supported no negative genre.,True,False,127,86,41,True,grounding_narrow_or_neutralize;remove_additional_negative_or_abstention_span
11741,no_negative_evidence,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,110,86,24,True,format_malformed_abstention_leadin;remove_additional_negative_or_abstention_span
11967,weak_or_ambiguous,unsupported_negative_claim_neutralized_no_supported_genre,Raw V2 asserted a negative preference although deterministic evidence was weak_or_ambiguous and supported no negative genre.,True,False,144,103,41,True,grounding_narrow_or_neutralize;remove_additional_negative_or_abstention_span
12296,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,102,70,32,True,remove_additional_negative_or_abstention_span
13279,supported_negative,overbroad_negative_claim_narrowed_to_supported_genres,"Raw V2 made a negative claim broader than the licensed genre evidence; the repair retained only ['Action', 'Adventure', 'Animation', 'Children', 'Comedy', 'Crime', 'Drama', 'Fantasy', 'Horror', 'IMAX', 'Mystery', 'Romance', 'Sci-Fi', 'Thriller'].",True,False,79,80,-1,False,grounding_narrow_or_neutralize;remove_additional_negative_or_abstention_span
13398,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,105,81,24,True,remove_additional_negative_or_abstention_span
13549,supported_negative,overbroad_negative_claim_narrowed_to_supported_genres,Raw V2 made a negative claim broader than the licensed genre evidence; the repair retained only ['Fantasy'].,True,False,101,84,17,False,grounding_narrow_or_neutralize;remove_additional_negative_or_abstention_span
13669,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,131,88,43,True,remove_additional_negative_or_abstention_span;remove_additional_negative_or_abstention_span
13837,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,100,74,26,True,format_add_summary_prefix;remove_additional_negative_or_abstention_span
14060,supported_negative,inappropriate_abstention_despite_supported_negative_genre,"Raw V2 abstained even though deterministic repeated rating evidence supported the narrow negative genre set ['Action', 'Adventure', 'Sci-Fi'].",True,False,129,90,39,True,abstention_to_supported_negative;remove_additional_negative_or_abstention_span
14173,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,182,116,66,True,remove_additional_negative_or_abstention_span;remove_additional_negative_or_abstention_span
14185,supported_negative,overbroad_negative_claim_narrowed_to_supported_genres,Raw V2 made a negative claim broader than the licensed genre evidence; the repair retained only ['IMAX'].,True,False,123,97,26,True,grounding_narrow_or_neutralize;remove_additional_negative_or_abstention_span
14922,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,116,88,28,True,remove_additional_negative_or_abstention_span
15072,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,132,90,42,True,remove_additional_negative_or_abstention_span
15125,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,155,102,53,True,remove_additional_negative_or_abstention_span
15230,supported_negative,overbroad_negative_claim_narrowed_to_supported_genres,Raw V2 made a negative claim broader than the licensed genre evidence; the repair retained only ['Comedy'].,True,False,99,60,39,True,grounding_narrow_or_neutralize;remove_additional_negative_or_abstention_span
15246,supported_negative,overbroad_negative_claim_narrowed_to_supported_genres,"Raw V2 made a negative claim broader than the licensed genre evidence; the repair retained only ['Adventure', 'Comedy', 'Drama', 'Romance', 'Thriller'].",True,False,127,100,27,True,grounding_narrow_or_neutralize;remove_additional_negative_or_abstention_span
15409,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,131,94,37,True,remove_additional_negative_or_abstention_span
15579,no_negative_evidence,unsupported_negative_claim_neutralized_no_supported_genre,Raw V2 asserted a negative preference although deterministic evidence was no_negative_evidence and supported no negative genre.,True,False,134,97,37,True,grounding_narrow_or_neutralize;remove_additional_negative_or_abstention_span
15732,no_negative_evidence,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,109,78,31,True,remove_additional_negative_or_abstention_span
15919,weak_or_ambiguous,unsupported_negative_claim_neutralized_no_supported_genre,Raw V2 asserted a negative preference although deterministic evidence was weak_or_ambiguous and supported no negative genre.,True,False,119,73,46,True,grounding_narrow_or_neutralize;remove_additional_negative_or_abstention_span
16272,weak_or_ambiguous,unsupported_negative_claim_neutralized_no_supported_genre,Raw V2 asserted a negative preference although deterministic evidence was weak_or_ambiguous and supported no negative genre.,True,False,113,74,39,True,grounding_narrow_or_neutralize;remove_additional_negative_or_abstention_span
16434,supported_negative,overbroad_negative_claim_narrowed_to_supported_genres,"Raw V2 made a negative claim broader than the licensed genre evidence; the repair retained only ['Crime', 'Romance', 'Thriller'].",True,False,126,72,54,True,grounding_narrow_or_neutralize;remove_additional_negative_or_abstention_span
16533,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,130,86,44,True,remove_additional_negative_or_abstention_span
16594,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,125,87,38,True,format_add_summary_prefix;remove_additional_negative_or_abstention_span
16654,no_negative_evidence,unsupported_negative_claim_neutralized_no_supported_genre,Raw V2 asserted a negative preference although deterministic evidence was no_negative_evidence and supported no negative genre.,True,False,142,122,20,False,grounding_narrow_or_neutralize
17302,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,115,87,28,True,remove_additional_negative_or_abstention_span
17763,no_negative_evidence,formatting_only,Only deterministic prefix/placeholder/grammar normalization was needed.,False,True,85,80,5,False,format_malformed_abstention_leadin
17948,weak_or_ambiguous,unsupported_negative_claim_neutralized_no_supported_genre,Raw V2 asserted a negative preference although deterministic evidence was weak_or_ambiguous and supported no negative genre.,True,False,124,77,47,True,grounding_narrow_or_neutralize;remove_additional_negative_or_abstention_span
18098,weak_or_ambiguous,unsupported_negative_claim_neutralized_no_supported_genre,Raw V2 asserted a negative preference although deterministic evidence was weak_or_ambiguous and supported no negative genre.,True,False,121,75,46,True,grounding_narrow_or_neutralize;remove_additional_negative_or_abstention_span
18193,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,107,83,24,True,remove_additional_negative_or_abstention_span
18291,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,124,81,43,True,remove_additional_negative_or_abstention_span
18440,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,94,72,22,True,remove_additional_negative_or_abstention_span
18515,supported_negative,overbroad_negative_claim_narrowed_to_supported_genres,"Raw V2 made a negative claim broader than the licensed genre evidence; the repair retained only ['Adventure', 'Sci-Fi'].",True,False,136,77,59,True,grounding_narrow_or_neutralize;remove_additional_negative_or_abstention_span
18568,weak_or_ambiguous,formatting_only,Only deterministic prefix/placeholder/grammar normalization was needed.,False,True,122,117,5,False,format_malformed_abstention_leadin
18673,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,79,66,13,False,remove_additional_negative_or_abstention_span
19850,weak_or_ambiguous,formatting_only,Only deterministic prefix/placeholder/grammar normalization was needed.,False,True,145,140,5,False,format_malformed_abstention_leadin
19859,weak_or_ambiguous,extra_forced_negative_or_duplicate_abstention_removed,Raw V2 filled an additional negative/other-viewer slot after the one licensed negative statement; the extra span was removed.,True,False,102,81,21,True,remove_additional_negative_or_abstention_span
19873,weak_or_ambiguous,unsupported_negative_claim_neutralized_no_supported_genre,Raw V2 asserted a negative preference although deterministic evidence was weak_or_ambiguous and supported no negative genre.,True,False,113,97,16,False,grounding_narrow_or_neutralize
