user_name,user_id,model_user_id,split,word_count,preference_characteristics_and_details,attempt,custom_id
MovieLens user 101,101,0,test,157,"This viewer consistently prefers family-friendly animated adventures with bright, imaginative worlds, playful humor, and heartwarming emotional cores. They favor stories that blend action or adventure with whimsical fantasy elements, lighthearted comedy, and accessible stakes suitable for children and broad audiences. Musicals, strong character-driven arcs, and gentle emotional beats resonate—especially when paired with vibrant animation, imaginative creature designs, or magical settings. They enjoy ensemble casts and buddy dynamics, comedic sidekicks, and films that balance spectacle with sincere family or coming-of-age themes. Less appealing are darker, relentlessly serious tones, heavy realism, or purely sci‑fi concepts without the warmth and humor of animated family storytelling. Extremely adult-oriented or grim narratives and slow, introspective dramas are rarely favored. Stylistically, they respond well to colorful, optimistic visuals, upbeat soundtracks, and clear moral themes delivered with charm rather than bleak ambiguity. Overall the viewer leans toward fun, uplifting animated fare that mixes adventure, comedy, and fantasy with emotional warmth and clear, character-focused storytelling.",0,user-101-4d61466d6f9da5be-a0
MovieLens user 281,281,1,validation,168,"This viewer favors bold, emotionally weighty storytelling with a taste for genre-spanning films that combine high stakes and strong character focus. They respond well to morally complex crime dramas and thrillers with psychological edge, and appreciate swept-up adventure and sci‑fi epics that deliver a sense of wonder alongside clear heroic arcs. Historical and wartime dramas with humanistic themes resonate, as do films that balance drama with moments of warmth or humor. Stylistically they like atmospheric, auteur-driven pieces that emphasize mood, tension, and visual worldbuilding, but they also enjoy energetic, broadly entertaining action-comedies and family-oriented musicals when the tone is upbeat and imaginative. They tend to prefer layered narratives and thoughtful pacing over light, purely escapist fare, yet still values films that offer strong spectacle or nostalgic charm. Dislikes include straight-up slapstick or purely juvenile children’s content, thinly sketched characters, and uncomplicated, formulaic romances. Overall, the viewer leans toward serious, stylistically distinct films with moral complexity, occasional levity, and a preference for memorable cinematic worlds and strong central performances.",0,user-281-59ed89f255224363-a0
MovieLens user 860,860,2,validation,161,"This viewer favors intelligent, high-concept genre fare with a strong appetite for action and thriller elements layered over drama and mystery. They respond well to complex, plot-driven narratives that challenge perception or feature moral ambiguity, especially when combined with suspense, crime, or sci-fi frameworks. They enjoy elevated superhero and blockbuster action when storytelling is grounded and weighty rather than purely spectacle, and they appreciate immersive, cinematic presentation. Character-driven dramas with emotional depth and smart, human-focused themes (relationships, genius, reinvention, ambition) also rate highly, as do dark, atmospheric pieces and psychological twists. Comedy is acceptable when it leans toward sharp, situational or satirical humor rather than broad family fare; lighter animated or children’s content is less favored. They tend to dislike flat, formulaic superhero installments and low-stakes slapstick comedy. Preferred tone ranges from tense and cerebral to gritty and earnest, with a consistent preference for films that blend smart writing, moral complexity, and high production values over pure novelty or shallow spectacle.",0,user-860-34d0a5616097e402-a0
MovieLens user 909,909,3,train,156,"This viewer favors grounded, character-driven dramas and sharp, darkly comic stories with moral ambiguity and social edge. They respond well to gritty crime dramas, intense psychological thrillers, and films that confront difficult subjects or ethical conflicts. They like dry, observational and satirical comedy—often with awkward or transgressive humor—and appreciate documentaries and quieter humanist dramas that examine real-world issues. They show a consistent interest in science-fiction and horror when those genres emphasize atmosphere, survival, or existential stakes rather than blockbuster spectacle or sprawling fantasy. They tend to dislike grandiose epic fantasy, overly stylized or operatic action-adventure, and conventional blockbuster spectacle; big franchise-style fantasy/adventure and operatic heroics score poorly. They also react negatively to prestige-y, manipulative melodrama and some highly stylized auteur flourishes when tone feels heavy-handed. Overall, prefer morally complex, razor-edged realism and sharp comic voice over high-concept spectacle or romanticized adventure; concise pacing, tense interpersonal conflict, and a willingness to probe uncomfortable topics are positive signals.",0,user-909-11d8762a2080593a-a0
MovieLens user 940,940,4,test,139,"Prefers bold, cinematic storytelling with high stakes and moral complexity. Favors expansive adventures and speculative worlds that combine spectacle with emotional core, plus grounded dramas and crime thrillers that emphasize tension, atmosphere, and ethical ambiguity. Enjoys films with tight pacing, intense set pieces, and memorable visual style—often with a somber or serious tone—yet also appreciates well-crafted animation and quieter character-driven romance when paired with strong themes. Responds positively to war and survival narratives that convey realism and sacrifice, and to mysteries or thrillers that sustain dread and investigative momentum. Less drawn to lighthearted farce, broad slapstick, or fluffy comedies; indifferent to purely exploitative shock value unless it serves a larger artistic or provocative purpose. Prefers stories that challenge viewers morally or emotionally, with clear directorial vision, striking cinematography, and purposeful worldbuilding rather than meandering plots or unfocused historical reenactment.",0,user-940-e38f18838f1255bf-a0
MovieLens user 1148,1148,5,validation,155,"This viewer favors emotionally resonant dramas and character-driven stories, especially those with inspirational, nostalgic, or heartfelt elements. They gravitate toward coming-of-age, family, and human-interest themes, and respond strongly to moral dilemmas, personal courage, redemption, and restrained emotional payoffs. Adventure and classic action-adventure appeal when paired with strong characters or grand, heroic stakes rather than relentless spectacle. They enjoy romantic and relationship-focused films that blend warmth and sincerity, plus lighter romantic comedies with witty chemistry. Thrillers and crime dramas are welcome when they emphasize psychological tension, mystery, or procedural cleverness over gratuitous violence. The viewer appreciates a mix of earnest sentiment, hopeful tones, and occasional whimsy or fantasy when it supports character growth. They are less drawn to broad slapstick or crass humor, shallow spectacle without emotional core, and films that prioritize style over narrative substance. Grittier, nihilistic stories or gratuitously violent works are generally lower preference unless anchored by strong character motivation or moral complexity.",0,user-1148-c628956d372ebf3a-a0
MovieLens user 1499,1499,7,test,158,"This viewer favors strong, story-driven films with clear stakes, moral complexity, and emotional payoff. They repeatedly choose sweeping dramas and action-driven thrillers that blend character depth with high tension—military, legal, and rescue scenarios and tense crime or conspiracy plots resonate especially well. They appreciate epic or romantic gestures when anchored by grounded conflict, and enjoy historical or large-scale narratives that emphasize honor, duty, and sacrifice. Lighter tastes include broad, feel-good comedies and family-friendly adventure musicals when paired with warmth and charm. They are drawn to polished, cinematic storytelling: confident direction, purposeful pacing, and craft that supports dramatic catharsis. Less appealing are films that feel gratuitous, excessively sensationalized, or indulgently stylized without emotional substance; they tend to rate pure spectacle, unfocused art-house excess, and weakly written melodrama lower. Overall the profile prefers films that balance brisk plot momentum with strong performances and moral or emotional clarity, mixing action, suspense, and heartfelt drama with occasional comic relief and romantic elements.",0,user-1499-e6584c37f766bc79-a0
MovieLens user 2044,2044,8,test,153,"The viewer favors intense, character-driven stories with moral complexity and emotional weight. They consistently gravitate toward dramas and thrillers that explore psychological depth, ethical dilemmas, and human resilience, often set against high-stakes situations (war, crime, survival, institutional pressure). They enjoy smart, twist-driven mysteries and cerebral science-fiction that blends concept with character, plus action that serves narrative and thematic heft rather than spectacle alone. Romance and dark humor appear as welcome seasoning when paired with originality and emotional honesty. Stylistically they prefer tightly written, well-acted films with strong directorial voice, atmospheric cinematography, and deliberate pacing; they appreciate both classic craftsmanship and bold modern storytelling. They dislike broadly commercial or shallow blockbusters and lighter family fare unless they offer cleverness or emotional resonance. Overall the viewer seeks films that challenge morally and intellectually, that balance tension and pathos, and that reward attention to character, theme, and craft rather than relying solely on effects or gimmicks.",0,user-2044-480e4cd4f71cef53-a0
MovieLens user 2134,2134,9,train,170,"This viewer favors emotionally resonant dramas and character-driven stories, often mixed with strong genre elements like action, sci‑fi, or animation. They respond well to earnest coming‑of‑age and queer‑positive narratives, nuanced interpersonal relationships, and underdog or mentorship arcs. They also enjoy kinetic, tightly choreographed action and martial-arts intensity, plus high-concept speculative premises that balance spectacle with emotional stakes. Comedy tastes skew toward smart, character-based and ensemble comedies—often irreverent or satirical—especially when paired with genre blends (action-comedy, crime-comedy, musical-comedy). Animated films with lyrical visuals, poignant themes, or imaginative worldbuilding are consistently appealing. Preferred tones range from heartfelt and bittersweet to taut and suspenseful; they appreciate films that mix humor with darker or more serious subject matter. Less favored are lightweight romantic comedies with formulaic beats and films that prioritize hollow spectacle over character depth. They show openness to stylistic experimentation when it serves character and theme rather than gimmickry. Overall, they seek emotional authenticity, strong character arcs, inventive genre hybrids, and a balance of thoughtful drama with energetic, well-executed action or humor.",0,user-2134-723a13bf3e4ce420-a0
MovieLens user 2137,2137,10,train,152,"This viewer favors high-energy, plot-driven entertainment that blends sharp humor with action and adventure. They consistently enjoy comedic action hybrids, caper and crime stories with witty banter, and blockbuster-style sci-fi and fantasy that emphasize spectacle and clear stakes. Romantic or dramatic elements are welcome when paired with charm or warmth rather than heavy melodrama. They appreciate clever thrillers and procedural crime dramas with smart plotting and tension. Strong preferences include lighthearted family-friendly comedies and animated fare with broad appeal, plus bold, stylized action and wartime dramas handled with gravitas. They tend to dislike slow, overwrought dramas, grim or nihilistic thrillers, and muddled, overly artsy fantasy—especially when tone or pacing undercut coherence. They respond well to charismatic leads, clear tone blends (action+comedy, mystery+thriller), and stories that prioritize momentum, humor, and confident worldbuilding. Overall, the viewer prefers entertaining, well-paced films that balance excitement and levity, while avoiding pretension, sluggish emotionalism, or inconsistent genre mixing.",0,user-2137-5131fb1f82e43d02-a0
